bq2419x_show_chargelog +0xe0 -> 0xc025382c strlen
bq2419x_set_wakelock_enable +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_wakelock_enable +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_wakelock_enable +0x60 -> 0xc004ff78 get_pd_charge_flag
bq2419x_set_wakelock_enable +0x74 -> 0xc00b3430 wake_unlock
bq2419x_set_wakelock_enable +0x8c -> 0xc004ff78 get_pd_charge_flag
bq2419x_set_wakelock_enable +0xa0 -> 0xc00b3c10 wake_lock
bq2419x_set_enable_cd +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_enable_cd +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_enable_cd +0x5c -> 0xc02656f4 __gpio_set_value
bq2419x_usb_otg_work +0x58 -> 0xc0418928 bq2419x_read_block
bq2419x_usb_otg_work +0x74 -> 0xc02bf034 dev_err
bq2419x_usb_otg_work +0x7c -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_usb_otg_work +0x84 -> 0xc007a4f0 msecs_to_jiffies
bq2419x_usb_otg_work +0x90 -> 0xc008edf0 schedule_delayed_work
bq2419x_stop_charger +0x1c -> 0xc02656f4 __gpio_set_value
bq2419x_stop_charger +0x38 -> 0xc02bef50 _dev_info
bq2419x_stop_charger +0x68 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_stop_charger +0x70 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_stop_charger +0x78 -> 0xc041863c bq2419x_config_misc_operation_reg
bq2419x_stop_charger +0x80 -> 0xc008ed28 cancel_delayed_work_sync
bq2419x_stop_charger +0x88 -> 0xc008ed28 cancel_delayed_work_sync
bq2419x_stop_charger +0x94 -> 0xc02656f4 __gpio_set_value
bq2419x_stop_charger +0x9c -> 0xc00824b0 msleep
bq2419x_stop_charger +0xa4 -> 0xc04174f8 bqdemon_battery_adjust_voltage
bq2419x_stop_charger +0xb8 -> 0xc009a230 blocking_notifier_call_chain
bq2419x_stop_charger +0xc0 -> 0xc04174f8 bqdemon_battery_adjust_voltage
bq2419x_stop_charger +0xcc -> 0xc004ff78 get_pd_charge_flag
bq2419x_stop_charger +0xe0 -> 0xc00b3430 wake_unlock
bq2419x_get_max_charge_voltage +0x10 -> 0xc0417420 get_battery_id
bq2419x_get_max_charge_voltage +0x2c -> 0xc02bef50 _dev_info
bq2419x_get_max_charge_voltage +0x6c -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0x8c -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0xb0 -> 0xc02bf034 dev_err
bq2419x_get_max_charge_voltage +0xc4 -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0xd8 -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0xec -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0x100 -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0x114 -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0x128 -> 0xc04757a0 get_hw_config_int
bq2419x_get_max_charge_voltage +0x13c -> 0xc04757a0 get_hw_config_int
bq2419x_start_ac_charger +0x20 -> 0xc02656f4 __gpio_set_value
bq2419x_start_ac_charger +0x38 -> 0xc009a230 blocking_notifier_call_chain
bq2419x_start_ac_charger +0x50 -> 0xc0419928 bq2419x_get_max_charge_voltage
bq2419x_start_ac_charger +0xc8 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_start_ac_charger +0xd0 -> 0xc00824b0 msleep
bq2419x_start_ac_charger +0xd8 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_start_ac_charger +0xe0 -> 0xc041877c bq2419x_config_current_reg
bq2419x_start_ac_charger +0xe8 -> 0xc04187c8 bq2419x_config_prechg_term_current_reg
bq2419x_start_ac_charger +0xf0 -> 0xc041883c bq2419x_config_voltage_reg
bq2419x_start_ac_charger +0xf8 -> 0xc041888c bq2419x_config_term_timer_reg
bq2419x_start_ac_charger +0x100 -> 0xc04188d0 bq2419x_config_thernal_regulation_reg
bq2419x_start_ac_charger +0x108 -> 0xc041863c bq2419x_config_misc_operation_reg
bq2419x_start_ac_charger +0x110 -> 0xc007a4f0 msecs_to_jiffies
bq2419x_start_ac_charger +0x11c -> 0xc008edf0 schedule_delayed_work
bq2419x_start_ac_charger +0x14c -> 0xc02bef50 _dev_info
bq2419x_start_ac_charger +0x15c -> 0xc0416c48 is_bqdemon_battery_exist
bq2419x_start_ac_charger +0x178 -> 0xc04174f8 bqdemon_battery_adjust_voltage
bq2419x_start_ac_charger +0x184 -> 0xc004ff78 get_pd_charge_flag
bq2419x_start_ac_charger +0x198 -> 0xc00b3c10 wake_lock
bq2419x_start_ac_charger +0x1b0 -> 0xc02bef50 _dev_info
bq2419x_start_ac_charger +0x1c0 -> 0xc009a230 blocking_notifier_call_chain
bq2419x_start_usb_charger +0x20 -> 0xc02656f4 __gpio_set_value
bq2419x_start_usb_charger +0x28 -> 0xc04174f8 bqdemon_battery_adjust_voltage
bq2419x_start_usb_charger +0x40 -> 0xc009a230 blocking_notifier_call_chain
bq2419x_start_usb_charger +0x58 -> 0xc0419928 bq2419x_get_max_charge_voltage
bq2419x_start_usb_charger +0xc0 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_start_usb_charger +0xc8 -> 0xc00824b0 msleep
bq2419x_start_usb_charger +0xd0 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_start_usb_charger +0xd8 -> 0xc041877c bq2419x_config_current_reg
bq2419x_start_usb_charger +0xe0 -> 0xc04187c8 bq2419x_config_prechg_term_current_reg
bq2419x_start_usb_charger +0xe8 -> 0xc041883c bq2419x_config_voltage_reg
bq2419x_start_usb_charger +0xf0 -> 0xc041888c bq2419x_config_term_timer_reg
bq2419x_start_usb_charger +0xf8 -> 0xc04188d0 bq2419x_config_thernal_regulation_reg
bq2419x_start_usb_charger +0x100 -> 0xc041863c bq2419x_config_misc_operation_reg
bq2419x_start_usb_charger +0x108 -> 0xc007a4f0 msecs_to_jiffies
bq2419x_start_usb_charger +0x114 -> 0xc008edf0 schedule_delayed_work
bq2419x_start_usb_charger +0x144 -> 0xc02bef50 _dev_info
bq2419x_start_usb_charger +0x154 -> 0xc0416c48 is_bqdemon_battery_exist
bq2419x_start_usb_charger +0x174 -> 0xc004ff78 get_pd_charge_flag
bq2419x_start_usb_charger +0x188 -> 0xc00b3c10 wake_lock
bq2419x_start_usb_charger +0x1a0 -> 0xc02bef50 _dev_info
bq2419x_start_usb_charger +0x1b0 -> 0xc009a230 blocking_notifier_call_chain
bq2419x_charger_interrupt +0x24 -> 0xc05d5cb8 printk
bq2419x_charger_interrupt +0x2c -> 0xc00c260c disable_irq_nosync
bq2419x_charger_interrupt +0x34 -> 0xc008da30 schedule_work
bq2419x_reg9_fault_work +0x30 -> 0xc0418928 bq2419x_read_block
bq2419x_reg9_fault_work +0x48 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_reg9_fault_work +0x50 -> 0xc007a4f0 msecs_to_jiffies
bq2419x_reg9_fault_work +0x5c -> 0xc008edf0 schedule_delayed_work
bq2419x_reg9_fault_work +0x70 -> 0xc02bf034 dev_err
bq2419x_reg9_fault_work +0x84 -> 0xc02bf034 dev_err
bq2419x_reg9_fault_work +0x8c -> 0xc00c26fc enable_irq
bq2419x_charger_shutdown +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_charger_shutdown +0x28 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_charger_shutdown +0x30 -> 0xc008244c del_timer_sync
bq2419x_charger_shutdown +0x3c -> 0xc008c6d4 flush_scheduled_work
bq2419x_charger_shutdown +0x44 -> 0xc008ed28 cancel_delayed_work_sync
bq2419x_charger_shutdown +0x54 -> 0xc0056828 blockmux_set
bq2419x_charger_shutdown +0x6c -> 0xc02bf034 dev_err
