index,address,offset,type,size,name
207,0xc0011ab0,0x9ab0,t,40,console_suspend_disable
208,0xc0011ad8,0x9ad8,t,100,log_buf_len_setup
209,0xc0011b3c,0x9b3c,t,248,console_setup
210,0xc0011c34,0x9c34,t,140,printk_late_init
211,0xc0011cc0,0x9cc0,t,56,keep_bootcon_setup
212,0xc0011cf8,0x9cf8,t,56,ignore_loglevel_setup
213,0xc0011d30,0x9d30,T,416,setup_log_buf
214,0xc0011ed0,0x9ed0,t,116,spawn_ksoftirqd
215,0xc0011f44,0x9f44,T,304,softirq_init
216,0xc0012074,0xa074,W,20,arch_early_irq_init
217,0xc0012088,0xa088,t,108,strict_iomem
218,0xc00120f4,0xa0f4,t,108,ioresources_init
219,0xc0012160,0xa160,t,208,__reserve_region_with_split
220,0xc0012230,0xa230,t,228,reserve_setup
221,0xc0012314,0xa314,T,84,reserve_region_with_split
222,0xc0012368,0xa368,t,72,sysctl_init
223,0xc00123b0,0xa3b0,t,40,file_caps_disable
224,0xc00123d8,0xa3d8,T,120,init_timers
225,0xc0012450,0xa450,t,204,uid_cache_init
226,0xc001251c,0xa51c,t,56,setup_print_fatal_signals
227,0xc0012554,0xa554,T,76,signals_init
228,0xc00125a0,0xa5a0,T,104,usermodehelper_init
229,0xc0012608,0xa608,t,1044,init_workqueues
230,0xc0012a1c,0xaa1c,T,148,pidhash_init
231,0xc0012ab0,0xaab0,T,320,pidmap_init
232,0xc0012bf0,0xabf0,T,44,sort_main_extable
233,0xc0012c1c,0xac1c,t,252,locate_module_kobject
234,0xc0012d18,0xad18,t,520,param_sysfs_init
235,0xc0012f20,0xaf20,t,564,init_posix_timers
236,0xc0013154,0xb154,t,276,init_posix_cpu_timers
237,0xc0013268,0xb268,t,128,setup_hrtimer_hres
238,0xc00132e8,0xb2e8,T,84,hrtimers_init
239,0xc001333c,0xb33c,t,80,nsproxy_cache_init
240,0xc001338c,0xb38c,t,176,ksysfs_init
241,0xc001343c,0xb43c,t,760,pm_qos_power_init
242,0xc0013734,0xb734,T,76,cred_init
243,0xc0013780,0xb780,t,36,timekeeping_init_ops
244,0xc00137a4,0xb7a4,T,268,timekeeping_init
245,0xc00138b0,0xb8b0,t,56,ntp_tick_adj_setup
246,0xc00138e8,0xb8e8,T,64,ntp_init
247,0xc0013928,0xb928,t,96,boot_override_clocksource
248,0xc0013988,0xb988,t,104,boot_override_clock
249,0xc00139f0,0xb9f0,t,96,init_clocksource_sysfs
250,0xc0013a50,0xba50,t,100,clocksource_done_booting
251,0xc0013ab4,0xbab4,t,32,init_jiffies_clocksource
252,0xc0013ad4,0xbad4,W,28,clocksource_default_clock
253,0xc0013af0,0xbaf0,t,80,init_timer_list_procfs
254,0xc0013b40,0xbb40,T,32,tick_init
255,0xc0013b60,0xbb60,t,128,setup_tick_nohz
256,0xc0013be0,0xbbe0,t,136,futex_init
257,0xc0013c68,0xbc68,t,84,nrcpus
258,0xc0013cbc,0xbcbc,T,200,call_function_init
259,0xc0013d84,0xbd84,t,76,maxcpus
260,0xc0013dd0,0xbdd0,t,44,nosmp
261,0xc0013dfc,0xbdfc,T,60,setup_nr_cpu_ids
262,0xc0013e38,0xbe38,T,236,smp_init
263,0xc0013f24,0xbf24,t,72,proc_modules_init
264,0xc0013f6c,0xbf6c,t,72,kallsyms_init
265,0xc0013fb4,0xbfb4,t,156,pm_init
266,0xc0014050,0xc050,t,524,wakelocks_init
267,0xc001425c,0xc25c,t,124,android_power_init
268,0xc00142d8,0xc2d8,t,168,cgroup_disable
269,0xc0014380,0xc380,t,352,cgroup_init_subsys
270,0xc00144e0,0xc4e0,T,464,cgroup_init_early
271,0xc00146b0,0xc6b0,T,556,cgroup_init
272,0xc00148dc,0xc8dc,T,140,cpuset_init
273,0xc0014968,0xc968,T,160,cpuset_init_smp
274,0xc0014a08,0xca08,t,240,cpu_stop_init
275,0xc0014af8,0xcaf8,T,260,early_irq_init
276,0xc0014bfc,0xcbfc,t,72,irqpoll_setup
277,0xc0014c44,0xcc44,t,72,irqfixup_setup
278,0xc0014c8c,0xcc8c,t,40,rcu_scheduler_really_started
279,0xc0014cb4,0xccb4,t,456,rcu_init_one
280,0xc0014e7c,0xce7c,T,280,rcu_init
281,0xc0014f94,0xcf94,t,36,relay_init
282,0xc0014fb8,0xcfb8,t,36,utsname_sysctl_init
283,0xc0014fdc,0xcfdc,T,268,setup_per_cpu_pageset
284,0xc00150e8,0xd0e8,T,32,set_dma_reserve
285,0xc0015108,0xd108,T,32,page_alloc_init
286,0xc0015128,0xd128,T,896,free_area_init_node
287,0xc00154a8,0xd4a8,T,44,free_area_init
288,0xc00154d4,0xd4d4,T,596,alloc_large_system_hash
289,0xc0015728,0xd728,T,80,page_writeback_init
290,0xc0015778,0xd778,T,60,swap_setup
291,0xc00157b4,0xd7b4,t,48,kswapd_init
292,0xc00157e4,0xd7e4,T,272,init_tmpfs
293,0xc00158f4,0xd8f4,t,176,extfrag_debug_init
294,0xc00159a4,0xd9a4,t,260,setup_vmstat
295,0xc0015aa8,0xdaa8,t,112,bdi_class_init
296,0xc0015b18,0xdb18,t,220,default_bdi_init
297,0xc0015bf4,0xdbf4,t,80,mm_sysfs_init
298,0xc0015c44,0xdc44,t,40,percpu_alloc_setup
299,0xc0015c6c,0xdc6c,t,24,pcpu_dfl_fc_free
300,0xc0015c84,0xdc84,t,40,pcpu_dfl_fc_alloc
301,0xc0015cac,0xdcac,T,132,pcpu_alloc_alloc_info
302,0xc0015d30,0xdd30,T,28,pcpu_free_alloc_info
303,0xc0015d4c,0xdd4c,T,2844,pcpu_setup_first_chunk
304,0xc0016868,0xe868,T,2148,pcpu_embed_first_chunk
305,0xc00170cc,0xf0cc,T,252,setup_per_cpu_areas
306,0xc00171c8,0xf1c8,T,176,percpu_init_late
307,0xc0017278,0xf278,T,192,page_address_init
308,0xc0017338,0xf338,t,40,disable_randmaps
309,0xc0017360,0xf360,t,108,init_zero_pfn
310,0xc00173cc,0xf3cc,T,64,mmap_init
311,0xc001740c,0xf40c,T,124,anon_vma_init
312,0xc0017488,0xf488,t,72,proc_vmalloc_init
313,0xc00174d0,0xf4d0,T,140,vm_area_register_early
314,0xc001755c,0xf55c,T,304,vmalloc_init
315,0xc001768c,0xf68c,t,40,bootmem_debug_setup
316,0xc00176b4,0xf6b4,t,272,init_bootmem_core
317,0xc00177c4,0xf7c4,t,96,alloc_arch_preferred_bootmem.isra.9
318,0xc0017824,0xf824,t,204,__free
319,0xc00178f0,0xf8f0,t,292,__reserve
320,0xc0017a14,0xfa14,t,844,alloc_bootmem_core
321,0xc0017d60,0xfd60,t,236,___alloc_bootmem_nopanic
322,0xc0017e4c,0xfe4c,t,244,mark_bootmem_node
323,0xc0017f40,0xff40,t,272,mark_bootmem
324,0xc0018050,0x10050,T,44,bootmem_bootmap_pages
325,0xc001807c,0x1007c,t,592,free_all_bootmem_core.part.14
326,0xc00182cc,0x102cc,T,24,init_bootmem_node
327,0xc00182e4,0x102e4,T,80,init_bootmem
328,0xc0018334,0x10334,T,124,free_bootmem_late
329,0xc00183b0,0x103b0,T,40,free_all_bootmem_node
330,0xc00183d8,0x103d8,T,92,free_all_bootmem
331,0xc0018434,0x10434,T,60,free_bootmem_node
332,0xc0018470,0x10470,T,48,free_bootmem
333,0xc00184a0,0x104a0,T,60,reserve_bootmem_node
334,0xc00184dc,0x104dc,T,48,reserve_bootmem
335,0xc001850c,0x1050c,W,20,reserve_bootmem_generic
336,0xc0018520,0x10520,T,24,__alloc_bootmem_nopanic
337,0xc0018538,0x10538,T,72,__alloc_bootmem
338,0xc0018580,0x10580,T,248,__alloc_bootmem_node
339,0xc0018678,0x10678,T,20,__alloc_bootmem_node_high
